	State	Action
87	((3, 5), 'sink')	0
88	((3, 5), '1')	aT
89	((3, 5), '0')	3
90	((3, 6), 'sink')	0
91	((3, 6), '1')	aT
92	((3, 6), '0')	0
93	((3, 7), 'sink')	0
94	((3, 7), '1')	aT
95	((3, 7), '0')	0
96	((4, 0), 'sink')	0
97	((4, 0), '1')	aT
98	((4, 0), '0')	3
99	((4, 1), 'sink')	0
100	((4, 1), '1')	aT
101	((4, 1), '0')	2
102	((4, 2), 'sink')	0
103	((4, 2), '1')	aT
104	((4, 2), '0')	0
105	((4, 3), 'sink')	0
106	((4, 3), '1')	aT
107	((4, 3), '0')	0
108	((4, 4), 'sink')	0
109	((4, 4), '1')	aT
110	((4, 4), '0')	0
111	((4, 5), 'sink')	0
112	((4, 5), '1')	aT
113	((4, 5), '0')	2
114	((4, 6), 'sink')	0
115	((4, 6), '1')	aT
116	((4, 6), '0')	0
117	((4, 7), 'sink')	0
118	((4, 7), '1')	aT
119	((4, 7), '0')	0
120	((5, 0), 'sink')	0
121	((5, 0), '1')	aT
122	((5, 0), '0')	3
123	((5, 1), 'sink')	0
124	((5, 1), '1')	aT
125	((5, 1), '0')	2
126	((5, 2), 'sink')	0
127	((5, 2), '1')	aT
128	((5, 2), '0')	2
129	((5, 3), 'sink')	0
130	((5, 3), '1')	aT
131	((5, 3), '0')	1
132	((5, 4), 'sink')	0
133	((5, 4), '1')	aT
134	((5, 4), '0')	3
135	((5, 5), 'sink')	0
136	((5, 5), '1')	aT
137	((5, 5), '0')	3
138	((5, 6), 'sink')	0
139	((5, 6), '1')	aT
140	((5, 6), '0')	2
141	((5, 7), 'sink')	0
142	((5, 7), '1')	aT
143	((5, 7), '0')	1
144	((6, 0), 'sink')	0
145	((6, 0), '1')	aT
146	((6, 0), '0')	3
147	((6, 1), 'sink')	0
148	((6, 1), '1')	aT
149	((6, 1), '0')	3
150	((6, 2), 'sink')	0
151	((6, 2), '1')	aT
152	((6, 2), '0')	3
153	((6, 3), 'sink')	0
154	((6, 3), '1')	aT
155	((6, 3), '0')	2
156	((6, 4), 'sink')	0
157	((6, 4), '1')	aT
158	((6, 4), '0')	0
159	((6, 5), 'sink')	0
160	((6, 5), '1')	aT
161	((6, 5), '0')	3
162	((6, 6), 'sink')	0
163	((6, 6), '1')	aT
164	((6, 6), '0')	2
165	((6, 7), 'sink')	0
166	((6, 7), '1')	aT
167	((6, 7), '0')	2
168	((7, 0), 'sink')	0
169	((7, 0), '1')	aT
170	((7, 0), '0')	2
171	((7, 1), 'sink')	0
172	((7, 1), '1')	aT
173	((7, 1), '0')	0
174	((7, 2), 'sink')	0
175	((7, 2), '1')	aT
176	((7, 2), '0')	0
177	((7, 3), 'sink')	0
178	((7, 3), '1')	aT
179	((7, 3), '0')	3
180	((7, 4), 'sink')	0
181	((7, 4), '1')	aT
182	((7, 4), '0')	0
183	((7, 5), 'sink')	0
184	((7, 5), '1')	aT
185	((7, 5), '0')	0
186	((7, 6), 'sink')	0
187	((7, 6), '1')	aT
188	((7, 6), '0')	3
189	((7, 7), 'sink')	0
190	((7, 7), '1')	aT
191	((7, 7), '0')	2
192	('sT', 'sink')	0
193	('sT', '1')	aT
194	('sT', '0')	0
