	State	Action
161	((4, 0), 'sink')	0
162	((4, 0), '3')	aT
163	((4, 0), '0')	1
164	((4, 0), '1')	3
165	((4, 1), '2')	2
166	((4, 1), 'sink')	0
167	((4, 1), '3')	aT
168	((4, 1), '0')	2
169	((4, 1), '1')	2
170	((4, 2), '2')	0
171	((4, 2), 'sink')	0
172	((4, 2), '3')	aT
173	((4, 2), '0')	0
174	((4, 2), '1')	0
175	((4, 3), '2')	0
176	((4, 3), 'sink')	0
177	((4, 3), '3')	aT
178	((4, 3), '0')	0
179	((4, 3), '1')	0
180	((4, 4), '2')	0
181	((4, 4), 'sink')	0
182	((4, 4), '3')	aT
183	((4, 4), '0')	0
184	((4, 4), '1')	0
185	((4, 5), '2')	2
186	((4, 5), 'sink')	0
187	((4, 5), '3')	aT
188	((4, 5), '0')	2
189	((4, 5), '1')	2
190	((4, 6), '2')	0
191	((4, 6), 'sink')	0
192	((4, 6), '3')	aT
193	((4, 6), '0')	0
194	((4, 6), '1')	0
195	((4, 7), '2')	0
196	((4, 7), 'sink')	0
197	((4, 7), '3')	aT
198	((4, 7), '0')	0
199	((4, 7), '1')	0
200	((5, 0), '2')	1
201	((5, 0), 'sink')	0
202	((5, 0), '3')	aT
203	((5, 0), '0')	1
204	((5, 0), '1')	3
205	((5, 1), '2')	0
206	((5, 1), 'sink')	0
207	((5, 1), '3')	aT
208	((5, 1), '0')	0
209	((5, 1), '1')	2
210	((5, 2), '2')	1
211	((5, 2), 'sink')	0
212	((5, 2), '3')	aT
213	((5, 2), '0')	1
214	((5, 2), '1')	1
215	((5, 3), '2')	1
216	((5, 3), 'sink')	0
217	((5, 3), '3')	aT
218	((5, 3), '0')	1
219	((5, 3), '1')	1
220	((5, 4), '2')	3
221	((5, 4), 'sink')	0
222	((5, 4), '3')	aT
223	((5, 4), '0')	3
224	((5, 4), '1')	3
225	((5, 5), '2')	3
226	((5, 5), 'sink')	0
227	((5, 5), '3')	aT
228	((5, 5), '0')	3
229	((5, 5), '1')	2
230	((5, 6), '2')	1
231	((5, 6), 'sink')	0
232	((5, 6), '3')	aT
233	((5, 6), '0')	1
234	((5, 6), '1')	1
235	((5, 7), '2')	1
236	((5, 7), 'sink')	0
237	((5, 7), '3')	aT
238	((5, 7), '0')	1
239	((5, 7), '1')	1
240	((6, 0), '2')	3
241	((6, 0), 'sink')	0
242	((6, 0), '3')	aT
243	((6, 0), '0')	3
244	((6, 0), '1')	2
245	((6, 1), '2')	3
246	((6, 1), 'sink')	0
247	((6, 1), '3')	aT
248	((6, 1), '0')	3
249	((6, 1), '1')	3
250	((6, 2), '2')	3
251	((6, 2), 'sink')	0
252	((6, 2), '3')	aT
253	((6, 2), '0')	3
254	((6, 2), '1')	3
255	((6, 3), '2')	2
256	((6, 3), 'sink')	0
257	((6, 3), '3')	aT
258	((6, 3), '0')	2
259	((6, 3), '1')	2
260	((6, 4), '2')	0
261	((6, 4), 'sink')	0
262	((6, 4), '3')	aT
263	((6, 4), '0')	0
264	((6, 4), '1')	0
265	((6, 5), '2')	0
266	((6, 5), 'sink')	0
267	((6, 5), '3')	aT
268	((6, 5), '0')	0
269	((6, 5), '1')	0
270	((6, 6), '2')	2
271	((6, 6), 'sink')	0
272	((6, 6), '3')	aT
273	((6, 6), '0')	2
274	((6, 6), '1')	2
275	((6, 7), '2')	3
276	((6, 7), 'sink')	0
277	((6, 7), '3')	aT
278	((6, 7), '0')	3
279	((6, 7), '1')	3
280	((7, 0), '2')	2
281	((7, 0), 'sink')	0
282	((7, 0), '3')	aT
283	((7, 0), '0')	2
284	((7, 0), '1')	2
285	((7, 1), '2')	0
286	((7, 1), 'sink')	0
287	((7, 1), '3')	aT
288	((7, 1), '0')	0
289	((7, 1), '1')	0
290	((7, 2), '2')	0
291	((7, 2), 'sink')	0
292	((7, 2), '3')	aT
293	((7, 2), '0')	0
294	((7, 2), '1')	0
295	((7, 3), '2')	0
296	((7, 3), 'sink')	0
297	((7, 3), '3')	aT
298	((7, 3), '0')	0
299	((7, 3), '1')	0
300	((7, 4), '2')	0
301	((7, 4), 'sink')	0
302	((7, 4), '3')	aT
303	((7, 4), '0')	0
304	((7, 4), '1')	0
305	((7, 5), '2')	0
306	((7, 5), 'sink')	0
307	((7, 5), '3')	aT
308	((7, 5), '0')	0
309	((7, 5), '1')	0
310	((7, 6), '2')	2
311	((7, 6), 'sink')	0
312	((7, 6), '3')	aT
313	((7, 6), '0')	2
314	((7, 6), '1')	2
315	((7, 7), '2')	2
316	((7, 7), 'sink')	0
317	((7, 7), '3')	aT
318	((7, 7), '0')	2
319	((7, 7), '1')	2
320	('sT', '2')	0
321	('sT', 'sink')	0
322	('sT', '3')	aT
323	('sT', '0')	0
324	('sT', '1')	0
